DATAFLOW,MEASURE: Measure,SECTOR: Sector of Ownership,WORK_TYPE: Type of work,BUILDING_TYPE: Type of building,REGION_TYPE: Region Type,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,UNIT_MULT: Unit of Multiplier,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),10050: Albury (C),M: Monthly,2021-09,39,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),10180: Armidale Regional (A),M: Monthly,2021-09,4,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),10250: Ballina (A),M: Monthly,2021-09,7,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),10300: Balranald (A),M: Monthly,2021-09,3,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),10470: Bathurst Regional (A),M: Monthly,2021-09,22,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),10500: Bayside (A),M: Monthly,2021-09,19,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),10550: Bega Valley (A),M: Monthly,2021-09,20,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),10600: Bellingen (A),M: Monthly,2021-09,2,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),10650: Berrigan (A),M: Monthly,2021-09,3,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),10750: Blacktown (C),M: Monthly,2021-09,1363,NUM: Number,0: Units,,
