,DATAFLOW,MEASURE,Measure,SECTOR,Sector of Ownership,WORK_TYPE,Type of work,BUILDING_TYPE,Type of building,REGION_TYPE,Region Type,REGION,Region,FREQ,Frequency,TIME_PERIOD,Time Period,OBS_VALUE,UNIT_MEASURE,Unit of Measure,UNIT_MULT,Unit of Multiplier,OBS_STATUS,Observation Status,OBS_COMMENT,Observation Comment
0,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),0,Australia,M,Monthly,Sep-2021,2021-09,18624,NUM,Number,0,Units,,,,
1,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),1,New South Wales,M,Monthly,Sep-2021,2021-09,6231,NUM,Number,0,Units,,,,
2,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),2,Victoria,M,Monthly,Sep-2021,2021-09,5523,NUM,Number,0,Units,,,,
3,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),3,Queensland,M,Monthly,Sep-2021,2021-09,3140,NUM,Number,0,Units,,,,
4,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),4,South Australia,M,Monthly,Sep-2021,2021-09,1093,NUM,Number,0,Units,,,,
5,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),5,Western Australia,M,Monthly,Sep-2021,2021-09,1633,NUM,Number,0,Units,,,,
6,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),6,Tasmania,M,Monthly,Sep-2021,2021-09,222,NUM,Number,0,Units,,,,
7,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),7,Northern Territory,M,Monthly,Sep-2021,2021-09,42,NUM,Number,0,Units,,,,
8,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),8,Australian Capital Territory,M,Monthly,Sep-2021,2021-09,740,NUM,Number,0,Units,,,,
1026,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),10050,Albury (C),M,Monthly,Sep-2021,2021-09,39,NUM,Number,0,Units,,,,
1027,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),10180,Armidale Regional (A),M,Monthly,Sep-2021,2021-09,4,NUM,Number,0,Units,,,,
1028,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),10250,Ballina (A),M,Monthly,Sep-2021,2021-09,7,NUM,Number,0,Units,,,,
1029,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),10300,Balranald (A),M,Monthly,Sep-2021,2021-09,3,NUM,Number,0,Units,,,,
1030,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),10470,Bathurst Regional (A),M,Monthly,Sep-2021,2021-09,22,NUM,Number,0,Units,,,,
1031,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),10500,Bayside (A),M,Monthly,Sep-2021,2021-09,19,NUM,Number,0,Units,,,,
1032,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),10550,Bega Valley (A),M,Monthly,Sep-2021,2021-09,20,NUM,Number,0,Units,,,,
1033,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),10600,Bellingen (A),M,Monthly,Sep-2021,2021-09,2,NUM,Number,0,Units,,,,
1034,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),10650,Berrigan (A),M,Monthly,Sep-2021,2021-09,3,NUM,Number,0,Units,,,,
1035,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),10750,Blacktown (C),M,Monthly,Sep-2021,2021-09,1363,NUM,Number,0,Units,,,,
1036,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),10800,Bland (A),M,Monthly,Sep-2021,2021-09,6,NUM,Number,0,Units,,,,
1037,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),10850,Blayney (A),M,Monthly,Sep-2021,2021-09,1,NUM,Number,0,Units,,,,
1038,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),10900,Blue Mountains (C),M,Monthly,Sep-2021,2021-09,14,NUM,Number,0,Units,,,,
1039,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),10950,Bogan (A),M,Monthly,Sep-2021,2021-09,0,NUM,Number,0,Units,,,,
